H2	The Longship Café: Viking
B	You open the door and a prow is looking down at you. A long ship with a carved dragon's head raised at the front of it is sitting whole in the middle of the hall. High overhead a great striped sail hangs across the room with the wind still in it, round shields are ranged along the walls, and a fire is burning low in a hearth in the center of the floor. People who have boarded the ship sit at the rowing benches passing steaming cups between them. This is Viking, a café where a cup of coffee buys you a place on a voyage a thousand years old.
B	Viking is in the old timber warehouse district at the mouth of the river. As the sawmills left and the street emptied out, this warehouse was the biggest and the oldest building left standing on it. They say the frame of it already looked like a ship before any boatbuilder touched it: the log posts and the steep triangular roof trusses were exactly the ribs of an upturned hull. The old story about northern people turning their boats over and living underneath them was something this warehouse had known in its own body from the beginning.
B	Up close what you notice first is the blackened timber of the outside walls. The wood is tarred against the weather, the way the ships of the northern seas were tarred, and above that black wall a carved dragon's head at the end of the eaves cranes its neck at the sky. There is no sign. A single wooden shield hangs beside the door, and the name is burned into the middle of it.
H3	Inside the door it is a thousand years ago
B	The door is heavy, low and oak. Pull the iron ring and it opens with real weight, and those few seconds of weight are the threshold rite of the house. Inside the door it is a different time. Torch-shaped lamps flicker along the walls, the woodsmoke of the hearth reaches you warm, and somewhere a low horn sounds once and holds. A member of staff nods and gestures at the hall, and the customer chooses between two worlds: board the ship, or sit at the long table.
H3	The floor is the sea
B	The ship owns the room. A longship more than twenty paces from prow to stern sits squarely in the middle of the hall, and inside it the rowing benches run facing one another. Each has a low table at it, so that people make the crossing holding cups instead of oars. Rest an arm on the gunwale and look out, and the floor is the sea: oak boards laid in a wave pattern, moving in the firelight. This ship has never been in the water. In this hall it has never once stopped sailing.
B	The world outside the ship is a feasting hall. Two long tables cut from whole logs run the length of the room, and people sit shoulder to shoulder on benches with no backs. Sharing a table with a party you do not know is the rule of the house, and strangely nobody minds it, because the fire is close and the cup is warm and the table is long. Along the wall a low bench curves around the hearth in a half moon, and the customers who need an evening of watching a fire compete for it.
B	The sail lives up in the roof. A big red-striped sail hangs at an angle across the air of the hall and brings a ceiling as high as a church down to a comfortable height. Where a ship's sail takes the wind, this one takes the light: river light comes in through the high windows, passes once through the canvas, and spreads soft across the whole room. As it was for the people of the winter seas, the comfort of this hall comes in the end from a low roof, a near fire, and a shoulder against your own.
H3	The ship is not put in the water
B	Viking's design principle is a voyage without seasickness. The ship sits solidly on the floor and does not move at all, and the whole sensation of sailing is carried by the eyes, the ears, and the story. What sways is not the ship but the torchlight; what swells is the wave pattern in the floor; the sound of open water comes from a horn that goes off now and then. Nothing moves, and you get the feeling of movement anyway. A pushchair or a wheelchair crosses a level floor and comes right up to the side of the ship. Take the danger and the cold and the nausea out of a voyage from a thousand years ago and what is left, unexpectedly, is a list of the things a café does best: gathering around a fire, sharing something hot, letting a conversation run long.
H3	A joiner who only made doors builds a ship
B	At the end of this street there is a woodworking shop, thirty years old. It made doors and furniture, and as flat-pack took over, the planer stood idle for longer and longer stretches. Before Viking opened, the first door it knocked on was that one. The commission was to build the ship that would own the hall. The joiner waved it away at first — ships are built by shipwrights. Then he spent some time looking at the drawings, and in the end he put an edge back on his tools. If the ship did not have to float, there was nothing in it his hands, after a lifetime of reading grain, could not do.
B	One ship brought the workshop back to life. Over the eight months while the hull grew, the number of people stopping to watch it grew too, and after the opening the shields and the horn-cup stands and the long tables all came out of his shop as well. There is a joinery class in that workshop at weekends now, and young people from across the city are making their own boards and chairs. Whenever he comes over to see to the ship he runs a hand along the gunwale and laughs. "A lifetime of doors," he says, "and at the end of it I've left a ship behind." A planer running again, a class on Saturdays, wooden signs going up along the street. As evidence that a forgotten woodworking street woke up as a street of timber, that's enough.
H3	Why you hold the horn cup in both hands
B	The thing Viking is known for is the mead — the fermented honey drink of the old seafarers, rebuilt here without the alcohol, warm, sweet at the front and with a bitter herbal edge at the finish. It comes in a horn with no handle. You stand it in a wooden holder between mouthfuls, and the shape of that cup is what sets the pace of this house, because to drink from it you have to take it in both hands. A cup held in both hands cannot be drunk quickly, and beside a cup that cannot be drunk quickly, a conversation gets longer.
B	Alongside it is the voyage roll, a large cinnamon roll whose spiral curls in on itself like a wave — the everyday bread of the northern countries, rebuilt for this house's oven. They sell as many as the oven produces, and on the day they run out, a small bell at the prow is rung once. The flatbread and the strawberry jam that come with it follow the same idea: every plate in this house arrives in a form you tear apart and hand around. Feast food is never eaten alone.
H3	"Sit at a rowing bench and it feels like actually leaving"
B	A game developer in his twenties who comes twice a month explains the appeal. "Sit at a rowing bench and it genuinely feels like going somewhere. Your friend's opposite you, there's a hot cup between you, the place smells of the fire. We hold our design meetings here. Things that were stuck in the office come loose the moment we're sitting on that ship. A boat does something to you. It's the feeling that you could go anywhere."
B	A team leader in her thirties who holds every department dinner here uses the long table instead. "Finding somewhere for a work dinner is always a problem, and this long table has never once failed. Sit everyone side by side on a backless bench and the hierarchy evaporates — the structure has no head of the table at all. You end up clinking cups with the team next to you, who you've never met. I learned here that you can have a genuinely rowdy night without any drink in it."
H3	I Boarded a Thousand-Year-Old Ship
B	A travel writer who has reported from the northern countries for years opened his piece on Viking like this. "I have seen a real longship in a museum. The thousand-year-old vessel was enshrined behind glass, and I filed past it in three minutes along the marked route. And then, in a warehouse in a river town, I spent two hours on board one. Sitting at a rowing bench with a horn cup in both hands, laughing about nothing with the stranger beside me. The ship in the museum was magnificent; this one was friendly. A ship was never meant to be an object you preserve. It is an object you climb into. I learned that a thousand years late."
B	His entry recommends: "If you go, do not sit only with the people you came with. Take an open place at the long table and ask for a horn cup. For the price of a coffee you will get back a fact you had stopped remembering: that an hour by a fire with a stranger is the oldest entertainment our species has."
H3	The man who used to float paper boats
B	The man who opened Viking has never once left this city. This riverbank was his playground as a boy. He would fold a paper boat, set it on the water, run up onto the bridge, and watch until his boat went round the bend and out of sight. How far will it get? Will it reach the sea? That question was the whole of his childhood. As an adult he did not leave. There were people to look after and a household to keep. He has never regarded that as a misfortune, but he could not stop the question coming back at him every time he passed the river.
