H2	The Café of Forever: Pyramid
B	The passage narrows a little, and darkens a little. You walk perhaps twenty paces along it, past hieroglyphs cut into the wall and moving in the low lamplight, and then the walls fall away and an enormous emptiness opens up. Four stone faces rise inward at a slant and meet at a single point far overhead: you are inside a square pyramid. Slits of light are set into the sloping walls like stars, and the cool silence of stone settles on your shoulders. A minute ago you were standing on a street with buses on it. This is Pyramid, a café where a cup of coffee buys you a pharaoh's afternoon.
B	Pyramid stands on the western edge of the city, out where the low hills run. Get off at the last bus stop, walk up a gentle road, and there is a sandstone pyramid sitting on the hilltop. It is about as tall as a three-story building, but with nothing near it to measure against, it stands a great deal larger than that. Sunset is this building's hour. When the western sky reddens, the silhouette of the pyramid rises black against it, and that view has made this hill the best evening walk in the city. It is also why the window seats on the homeward bus fill up on the hill side first.
B	Up close the wall has the grain of large sandstone blocks laid in courses. Put a hand on it and you get the rough, solid feel of the real thing. There is no sign of any size. On the wall beside the door there is an oval cut into the stone with the name of the house inside it, in a typeface that leans toward hieroglyphic. Anyone who knows that the old kings protected their names by carving them inside an oval will smile once in front of that nameplate. This house enshrined its own name like a king before it did anything else.
H3	The way in to the king's chamber
B	The passage inside the door is the threshold rite of the house. The floor is level, but the walls and ceiling narrow steadily and the light drops as you go, so the body quiets down of its own accord while you walk. The reliefs along the wall are a procession of birds and eyes and boats and suns. You do not need to know what they say. The sense of passing between old things is the entire point. At the end of the passage a member of staff nods and extends a hand, and the world that has been closing in opens all at once into a great volume of air. Compression, then release. This house took the oldest piece of staging the tombs of kings ever knew and used it as the threshold of a café.
H3	A sky of stone with stars set into it
B	The sloping walls own the room. Four faces of stone rise inward toward a single point, and everything in this space comes from that angle. The eye runs up the wall without being asked, and the mind gathers somewhere under the apex. Thin slits are cut through the stone here and there and glitter through the day like constellations — a version of the shafts said to have been bored northward toward a star from the king's chamber of the real thing. And around sunset, light comes through a slit in the western wall as a long gold column, crossing the hall at an angle and moving slowly across the floor. The evening customers of this house wait quietly for the few minutes when that column passes their own table.
B	The light overall is low and golden. Lamps set along the walls wash up the grain of the stone from below so that the whole hall glows faintly, like the inside of old metal. It is lavish without being bright, grand without being cold. Thick stone walls leave the noise and the heat and the cold of the outside standing at the door, so the room keeps the temperature of stone in every season, neither warm nor cool. In that quiet, only the sound of a cup being set down and the low run of conversation come through clearly.
B	The seating runs low around the walls. Under the slant the ceiling comes down into snug alcoves, with deep-backed chairs and low stone tables. In the middle of the hall, directly beneath the apex, there is one large round table. It is the most open seat in the house and the most sought after, because sitting at the center of a room whose four walls are all leaning in toward you is not an experience on sale anywhere else.
H3	This treasure cannot be robbed
B	Pyramid's design principle lies in changing the material of magnificence. The chambers of kings were magnificent in gold; this room is magnificent in light. Gilt has been replaced by golden lamps, jewels by slits of star, wall paintings by a column of sunset. Which means the treasure of this pyramid cannot be taken by robbers, because the treasure is light. Building the grandeur of a king's chamber out of two things, the grain of stone and the angle of light, is this house's real craft — and it has the side effect that all this splendor costs almost nothing to maintain. The sun delivers a new treasure every day and never sends an invoice.
H3	A light back on at the jeweler's bench
B	In the parade of shops at the bottom of the hill there is a jeweler, forty years old, who used to engrave first-birthday rings and wedding bands. As the age of formal gifts faded, the light over his bench was off more days than it was on. What Pyramid asked him for, when it opened, was cartouches: small plaques carrying a customer's name transliterated into hieroglyphs inside an oval, like the nameplate on the wall outside. The old engraver spent a night going through the reference material and came back the next day with three samples instead of an answer.
B	The light over his bench is on again now. For a baby's hundredth day, for the day an exam result comes through, for a colleague's last morning before retirement, people come down the hill to have a name cut. He adjusts his eyeglass and laughs. "Forty years of engraving rings, and now I engrave the names of kings. Turns out engraving names is the job I'd been doing all along." A leather workshop and a stamp-carver's have taken two of the empty units in the parade, and people have started calling it the engraving lane. A light back on over a bench, new workshops, a new name for the street. As evidence that a fading parade woke up as a lane of handwork, that's enough.
H3	How to drink like a pharaoh
B	The thing Pyramid is known for is the gold latte: honey and spice let down in milk to a golden color, served with a single very thin leaf of edible gold laid across it like a sunset. People climb the hill for the extravagance of that gold touching the lip on the first mouthful. Beside it is the Nile cake, dates and nuts chopped and layered, and cut open it shows the strata of a river's deposits. The story of how the silt a river carried down each year fed a civilization is a thing this cross-section tells you with one fork.
B	And every order comes with a cartouche card, a small card that renders the sound of your name in hieroglyphs. There are stamps beside the till, and the customer prints their own name inside the oval. The expression on a person's face as they first look down at their name assembled out of birds and water and eyes is this café's favorite thing in the world. Those ovals travel around the city in wallets and between the pages of books. What the kings used to do, everybody does now — which is to leave a name behind.
H3	"Sitting here makes my problems look like artifacts"
B	A startup developer in her twenties who books the round table once a month explains what she comes for. "Sitting here makes my problems look like artifacts. When I think about people thousands of years ago building this because they wanted to live forever, this quarter's targets suddenly look adorable. I come whenever I start to feel rushed. I'm here to borrow the unit of time these walls use."
B	An evening regular in his thirties comes for a few minutes of sunset. "The light comes through the slit in the west wall and a gold column crosses the hall. Takes about ten minutes. While it's passing my table I don't do anything. Phone face down. I learned here that ten minutes a day, if you actually keep them, changes the week."
H3	I Was Given a Pharaoh's Afternoon
B	A travel writer who has spent a career filing from ancient sites opened his piece on Pyramid like this. "I have been to a real pyramid. I queued in desert heat, crawled bent double up a robber's shaft, looked at an empty king's chamber for three minutes, and came out. It was magnificent and it was punishing. And then on a hill in this city I sat in a king's chamber for two hours, drinking a gold latte in the cool silence of stone, looking up at a sky of rock with stars cut into it. A king four and a half thousand years ago acquired this room by dying. I acquired it for the price of a coffee, alive. I laughed at that piece of arithmetic for a long time."
B	His entry closes: "Go to this café an hour before sunset. Watch the column of light cross the hall, and print the cartouche of your own name on the way out. For the price of a coffee you will be given an afternoon that has no reason to envy eternity."
H3	The unopened things in the boxes
B	The woman who opened Pyramid is someone who has cleared out her parents' belongings. After the funeral, when she finally opened the wardrobe in the long-empty house, it was not the worn things that undid her. It was the new ones. Bedding still in its wrapping, a scarf never once worn, good dishes saved for later, stacked up in their boxes. They had been people who kept the good things back. People who assumed the good day was always somewhere further on. She sat down on the floor in front of those boxes and learned that whatever you save gets left to somebody else.
B	After that winter her arithmetic changed. Use the good cup today, see the good people today, appoint today as the good day. When she decided to open a café, she chose to borrow the shape of the largest building humanity ever put up for the sake of later — in order to sell people the present inside it. "The kings built this shape for eternity," she says. "I built it for an afternoon. Nobody in here is waiting for anything. That is what I am proud of."
H3	What Pyramid actually sells
B	Look at Pyramid's books and it becomes clear that this café is not selling coffee. What it sells is a change of scale. The moment you sit inside a form that has held for thousands of years, your day and your worries get measured with a different ruler. This week's deadline and this month's numbers shrink to their real size in front of a four-thousand-year wall. That shift of scale is not a product any consulting room sells, which is why the round table on this hill does not go in and out of fashion.
B	It resists copying because of the stubbornness of the form. The inside of a square pyramid is about half waste. A great deal of floor area is lost as the walls lean in, and the converging grandeur exists only as the payment for accepting that loss. A business planned by the square meter cannot imitate this room. What brings people back is collecting, and light. Families cut one cartouche after another, name by name; the sunset column arrives at a different angle every season. Because the summer column and the winter column cross different parts of the floor, the regulars move seats as the year goes round.
H3	Buying a civilization whole
B	The queue at Pyramid sits on a shift you could call buying a civilization whole. People have spent a long time looking at artifacts through glass. Three hours in a museum is a reverent business, but your legs hurt and the coffee is only sold in the lobby. Now people want to stay inside a civilization rather than view it: half a day sitting in that period's light, drinking that period's flavors, printing their own name in that period's writing. Meeting a civilization through the body rather than through information. Pyramid is this city's answer to that appetite, and rather than competing with the museum it has become a door into it, since the people who spend half a day here go straight out and look up ticket prices.
H3	Build the last room first
